SPOTS_ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,FRAME,MEAN_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEAN_INTENSITY_CH4,MEAN_INTENSITY_CH5
30419664,0,1.90987312794,351.0,851.0,0.0,488.833935018,14.3826714801,41.714801444,1.61371841155,30.6028880866
30419922,0,2.49952816963,347.0,852.0,13.0,629.288808664,39.1480144404,53.6714801444,2.89891696751,15.7906137184
30420310,0,1.20314610004,346.0,855.0,18.0,77.8483754513,286.018050542,24.3935018051,70.2707581227,22.1985559567
30422166,0,2.76591706276,359.0,852.0,32.0,227.249097473,955.577617329,81.523465704,74.2166064982,20.9458483755
30420504,0,2.11231613159,345.0,853.0,10.0,569.920577617,57.2166064982,47.6281588448,4.30324909747,22.1263537906
30422745,0,1.69271540642,390.0,841.0,36.0,377.158844765,26.844765343,32.1588447653,4.28158844765,17.0
30422298,0,4.56586837769,354.0,849.0,33.0,384.223826715,1238.01805054,105.635379061,71.0613718412,22.4584837545
30419485,0,0.823616087437,348.0,850.0,17.0,71.6389891697,193.400722022,16.6245487365,64.7184115523,24.8483754513
30419264,0,2.53697514534,348.0,848.0,12.0,619.122743682,21.5090252708,52.7870036101,1.1119133574,19.1046931408
30418690,0,2.10549044609,350.0,852.0,4.0,522.166064982,28.2202166065,43.5342960289,2.46570397112,25.8844765343
30419589,0,2.68939328194,351.0,854.0,14.0,653.090252708,91.7184115523,55.7220216606,5.53068592058,22.3646209386
30418892,0,3.0569562912,349.0,853.0,8.0,643.768953069,73.3646209386,54.9061371841,5.41516245487,23.1083032491
30420111,0,2.2787103653,348.0,847.0,3.0,520.819494585,24.6570397112,44.4296028881,2.89530685921,24.4368231047
30420720,0,2.06245756149,354.0,852.0,22.0,60.5126353791,561.938628159,47.9314079422,79.6750902527,21.2815884477
30420848,0,2.29688358307,350.0,854.0,23.0,70.4584837545,639.270758123,54.5090252708,79.5270758123,24.0252707581
30423027,0,4.42919778824,350.0,847.0,31.0,200.184115523,1153.65703971,98.4151624549,76.59566787,22.6895306859
30420598,0,2.83353686333,350.0,852.0,9.0,617.938628159,54.2166064982,52.6859205776,3.93501805054,19.7833935018
30420022,0,1.5923306942,348.0,852.0,15.0,358.285198556,121.252707581,30.5487364621,13.5992779783,21.559566787
