SPOTS_ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,FRAME,MEAN_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEAN_INTENSITY_CH4,MEAN_INTENSITY_CH5
30223309,0,3.32517409325,803.0,189.0,4.0,266.296028881,896.945848375,76.5451263538,71.5342960289,27.1588447653
30220749,0,3.96844482422,798.0,189.0,16.0,1095.59927798,39.0685920578,93.4440433213,1.48736462094,31.0505415162
30223818,0,3.24872708321,805.0,187.0,13.0,790.368231047,59.7545126354,67.3898916968,3.62454873646,28.523465704
30229062,0,2.19857096672,875.0,221.0,45.0,738.371841155,18.3826714801,61.963898917,1.02166064982,33.6678700361
30220764,0,4.13982725143,802.0,191.0,14.0,971.772563177,60.5523465704,82.8880866426,2.79422382671,27.7581227437
30222430,0,1.22629201412,810.0,186.0,11.0,386.176895307,35.5270758123,32.9422382671,3.7761732852,27.8844765343
30221406,0,0.730957388878,805.0,190.0,18.0,254.40433213,108.859205776,21.7075812274,19.1407942238,36.2779783394
30225246,0,1.21259522438,831.0,203.0,28.0,91.0722021661,371.620938628,31.7075812274,72.1155234657,30.8194945848
30225625,0,1.11519885063,840.0,220.0,32.0,73.0288808664,382.003610108,32.5776173285,75.8989169675,22.523465704
30226779,0,1.72848069668,832.0,236.0,36.0,228.202166065,616.649819495,52.5884476534,69.0216606498,28.6606498195
30230363,0,0.686848104,860.0,248.0,54.0,264.465703971,171.44765343,21.5415162455,25.4476534296,31.5379061372
30221909,0,1.1224719286,818.0,186.0,19.0,419.693140794,36.3718411552,35.8194945848,3.0036101083,21.3862815884
30227156,0,2.54716491699,867.0,224.0,39.0,822.227436823,74.5884476534,69.1696750903,3.64981949458,35.9602888087
30226391,0,0.973915219307,853.0,228.0,38.0,321.981949458,411.920577617,35.3357400722,50.3140794224,50.6895306859
30227795,0,0.949909448624,886.0,212.0,43.0,59.3790613718,383.490974729,31.2924187726,77.9602888087,42.3429602888
30226002,0,0.550300478935,856.0,228.0,34.0,274.090252708,63.3971119134,23.4873646209,11.0072202166,35.8592057762
30223465,0,2.51295924187,804.0,190.0,7.0,430.281588448,845.194945848,72.1263537906,62.916967509,23.5992779783
30228840,0,0.44274187088,866.0,241.0,47.0,42.440433213,183.400722022,15.7364620939,70.4440433213,27.1696750903
30228203,0,1.31652247906,879.0,214.0,41.0,71.6750902527,457.115523466,36.6173285199,77.2779783394,44.119133574
30222954,0,1.59691762924,830.0,187.0,23.0,446.108303249,120.61732852,38.0541516245,10.5848375451,66.4476534296
30224865,0,0.666278541088,830.0,181.0,25.0,78.1841155235,210.667870036,18.0180505415,66.2635379061,61.7797833935
30229729,0,0.703095674515,871.0,248.0,50.0,52.7111913357,328.097472924,27.0938628159,77.6173285199,25.9602888087
30227580,0,1.28815221786,878.0,210.0,44.0,410.664259928,377.285198556,36.6606498195,37.5126353791,47.8014440433
30230783,0,0.883790016174,847.0,254.0,55.0,45.5848375451,293.996389892,25.0397111913,77.7292418773,32.3610108303
30220401,0,4.18929719925,807.0,185.0,15.0,995.050541516,36.2815884477,84.9061371841,1.49819494585,31.8555956679
