SPOTS_ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,FRAME,MEAN_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEAN_INTENSITY_CH4,MEAN_INTENSITY_CH5
22701208,3,0.322453081608,443.0,469.0,38.0,106.790613718,158.927797834,13.844765343,51.0180505415,47.2274368231
22699225,3,0.424702882767,443.0,469.0,0.0,119.335740072,178.075812274,15.3971119134,53.4007220217,47.0866425993
22701529,3,0.46430850029,441.0,470.0,29.0,108.014440433,177.985559567,15.40433213,55.5198555957,48.1335740072
22700892,3,0.364565223455,446.0,467.0,27.0,100.534296029,158.267148014,13.7328519856,52.7184115523,34.4223826715
22698909,3,0.416655242443,439.0,469.0,12.0,106.090252708,167.14801444,14.4079422383,54.5342960289,40.9891696751
22699794,3,0.407314687967,441.0,469.0,5.0,120.274368231,156.711191336,13.7292418773,48.3718411552,45.3898916968
22700691,3,0.433099150658,440.0,470.0,25.0,122.249097473,178.541516245,15.6931407942,51.8772563177,49.3249097473
22699479,3,0.399982005358,441.0,470.0,7.0,107.072202166,165.064981949,14.2924187726,53.2310469314,36.4368231047
22700308,3,0.414770394564,441.0,470.0,21.0,110.357400722,168.306859206,14.6173285199,52.7509025271,42.7003610108
22698581,3,0.398439288139,441.0,470.0,6.0,115.942238267,167.321299639,14.7328519856,51.7725631769,39.6245487365
22702731,3,0.306627124548,424.0,456.0,39.0,79.9819494585,114.025270758,10.5126353791,45.0613718412,33.9566787004
22701000,3,0.385659784079,440.0,470.0,37.0,104.55234657,164.833935018,14.3971119134,53.5920577617,43.4909747292
22700494,3,0.401765525341,442.0,468.0,23.0,109.14801444,190.599277978,16.4151624549,56.0144404332,46.3285198556
22699151,3,0.411433249712,442.0,470.0,11.0,105.032490975,152.137184116,13.2996389892,50.7184115523,39.3104693141
22701836,3,0.37082311511,439.0,469.0,24.0,119.642599278,172.379061372,14.8303249097,52.2527075812,48.2310469314
22700045,3,0.420779198408,440.0,470.0,3.0,127.194945848,177.819494585,15.3935018051,51.285198556,45.0722021661
22698829,3,0.35328745842,443.0,469.0,10.0,119.592057762,160.187725632,13.8519855596,50.1588447653,44.8086642599
22699713,3,0.365128219128,440.0,469.0,14.0,103.458483755,158.465703971,13.6750902527,53.036101083,38.1227436823
22702407,3,0.38054394722,439.0,469.0,36.0,97.8989169675,164.570397112,14.2924187726,54.7581227437,45.9891696751
22699963,3,0.397008746862,441.0,468.0,2.0,129.393501805,179.963898917,15.7292418773,50.3971119134,43.2238267148
22700793,3,0.422761291265,439.0,470.0,32.0,93.4657039711,178.581227437,15.2599277978,59.8555956679,42.7725631769
22698750,3,0.432820498943,440.0,470.0,8.0,118.007220217,163.931407942,14.1949458484,50.8700361011,41.1841155235
22700223,3,0.386327832937,440.0,470.0,13.0,100.057761733,152.895306859,13.2563176895,53.0144404332,47.4909747292
22699391,3,0.355201989412,440.0,471.0,22.0,108.805054152,153.476534296,13.4476534296,50.916967509,51.2346570397
22701631,3,0.33801138401,442.0,469.0,28.0,105.714801444,162.144404332,13.9927797834,52.7003610108,39.4620938628
22699069,3,0.404714643955,442.0,469.0,18.0,103.111913357,169.144404332,14.6028880866,55.2815884477,41.7942238267
22699635,3,0.424354165792,440.0,469.0,1.0,115.613718412,179.129963899,15.4296028881,53.4296028881,46.8267148014
22701424,3,0.365445315838,441.0,469.0,34.0,107.314079422,169.166064982,14.5884476534,54.9097472924,44.5306859206
22702961,3,0.323639452457,422.0,457.0,31.0,79.8664259928,119.198555957,10.8700361011,47.1335740072,28.4259927798
22698664,3,0.396774441004,441.0,469.0,16.0,118.018050542,182.711191336,15.7689530686,54.1263537906,46.0649819495
22699305,3,0.336179047823,441.0,470.0,4.0,117.028880866,146.902527076,12.9711191336,46.7400722022,34.8158844765
22700398,3,0.460311502218,442.0,468.0,19.0,111.288808664,200.465703971,17.0722021661,57.5884476534,46.1335740072
22700590,3,0.370403468609,442.0,470.0,26.0,108.007220217,166.108303249,14.4259927798,52.761732852,45.8339350181
22698988,3,0.37055310607,441.0,469.0,15.0,106.85198556,154.841155235,13.3862815884,51.2779783394,37.916967509
22701101,3,0.391692906618,442.0,469.0,33.0,104.783393502,167.85198556,14.5090252708,54.6498194946,45.036101083
