SPOTS_ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,FRAME,MEAN_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEAN_INTENSITY_CH4,MEAN_INTENSITY_CH5
28775990,1,3.43163371086,378.0,807.0,6.0,37.1480144404,803.205776173,68.5306859206,82.5054151625,13.6389891697
28775734,1,3.73510050774,393.0,814.0,22.0,152.317689531,940.895306859,80.2707581227,77.4368231047,14.0577617329
28779254,1,1.47440588474,385.0,893.0,46.0,122.635379061,671.19133574,53.6462093863,75.8989169675,40.4007220217
28778034,1,1.16062510014,377.0,826.0,32.0,66.9602888087,395.703971119,33.761732852,77.0974729242,32.3321299639
28776817,1,0.890703141689,373.0,815.0,12.0,36.1407942238,242.509025271,20.725631769,73.5703971119,15.4693140794
28775408,1,2.55252981186,367.0,814.0,3.0,25.8158844765,527.364620939,44.9711191336,80.8628158845,7.90974729242
28777328,1,1.34475362301,380.0,815.0,25.0,28.5451263538,448.44765343,37.1877256318,78.0072202166,14.0866425993
28776061,1,1.47647666931,366.0,799.0,8.0,505.314079422,8.440433213,41.1083032491,0.541516245487,19.1877256318
28776317,1,0.857403755188,374.0,824.0,16.0,36.9061371841,224.42599278,18.1768953069,75.3321299639,24.9963898917
28778939,1,1.31445884705,398.0,887.0,44.0,414.779783394,22.8916967509,35.3862815884,1.85559566787,33.2527075812
28779578,1,1.1946092844,411.0,884.0,47.0,125.487364621,637.675090253,52.4909747292,75.5920577617,18.9097472924
28776889,1,1.49451506138,389.0,815.0,13.0,49.9963898917,395.411552347,33.7545126354,77.321299639,17.6534296029
28777528,1,3.33522605896,381.0,828.0,28.0,73.3610108303,927.646209386,76.7075812274,80.7075812274,17.6931407942
28777127,1,0.665793478489,373.0,814.0,0.0,17.4909747292,171.859205776,14.6570397112,77.725631769,14.2924187726
28775268,1,2.68364262581,369.0,818.0,4.0,32.0577617329,660.653429603,56.3537906137,82.1877256318,13.0758122744
28777828,1,1.95320999622,384.0,839.0,33.0,67.0722021661,494.397111913,42.1516245487,77.9963898917,25.880866426
28776739,1,0.849649906158,355.0,833.0,17.0,25.4079422383,199.0,17.0144404332,72.7833935018,13.0613718412
28775907,1,2.63096785545,384.0,825.0,21.0,74.6245487365,781.292418773,64.8916967509,80.3068592058,12.6967509025
28779363,1,3.72085309029,404.0,913.0,41.0,128.21299639,1038.16606498,87.5487364621,79.1805054152,34.9494584838
28777058,1,2.83739089966,387.0,816.0,23.0,191.714801444,912.776173285,77.8844765343,75.5090252708,14.4476534296
28778528,1,2.12948012352,372.0,826.0,27.0,32.1949458484,820.263537906,66.9711191336,82.714801444,16.2960288809
28777632,1,3.85352873802,378.0,838.0,29.0,73.0866425993,1103.41155235,92.3790613718,81.4945848375,15.2924187726
28775339,1,3.90950274467,372.0,816.0,10.0,939.877256318,147.122743682,80.1516245487,5.98194945848,14.3537906137
28776232,1,5.14552307129,369.0,821.0,9.0,1133.05776173,77.7400722022,95.6462093863,2.03249097473,16.7653429603
28776488,1,2.87089419365,387.0,834.0,20.0,65.0577617329,788.718411552,67.2599277978,80.7689530686,13.7184115523
28776151,1,0.835644185543,362.0,811.0,18.0,25.2202166065,210.779783394,18.036101083,71.3610108303,16.5559566787
28777431,1,2.86598467827,393.0,832.0,26.0,41.8880866426,684.801444043,57.4873646209,80.8700361011,17.4981949458
28778836,1,1.29179954529,393.0,895.0,45.0,473.848375451,114.108303249,39.3971119134,9.40794223827,22.725631769
28779795,1,0.409497648478,438.0,906.0,49.0,40.0252707581,244.631768953,20.036101083,74.274368231,33.1263537906
28777938,1,1.96839487553,382.0,854.0,34.0,29.2671480144,481.335740072,41.0541516245,79.6245487365,17.9530685921
28779039,1,3.08068680763,388.0,868.0,36.0,882.985559567,54.8772563177,75.3357400722,3.95306859206,22.5054151625
28775644,1,1.43637692928,374.0,815.0,1.0,20.0974729242,294.750902527,24.1624548736,77.7400722022,13.0288808664
28778330,1,1.92461717129,377.0,880.0,37.0,51.916967509,655.227436823,54.4151624549,80.9422382671,21.7436823105
28775577,1,1.04210221767,365.0,826.0,11.0,89.59566787,271.63898917,23.1732851986,68.0722021661,19.2635379061
28778136,1,4.2734208107,373.0,838.0,31.0,293.537906137,1210.66425993,103.281588448,74.0685920578,14.7545126354
28775815,1,1.11148679256,379.0,809.0,2.0,27.3754512635,305.494584838,26.0758122744,78.9386281588,15.844765343
28778437,1,0.460021913052,406.0,917.0,40.0,249.064981949,20.119133574,18.5920577617,4.21660649819,27.6173285199
28779141,1,4.90215826035,386.0,893.0,43.0,322.548736462,1395.36823105,117.19133574,74.5487364621,15.2671480144
28777220,1,2.37801742554,394.0,813.0,24.0,27.880866426,598.624548736,50.0974729242,82.155234657,14.9422382671
28776579,1,1.41370344162,398.0,814.0,15.0,30.7833935018,407.837545126,33.8194945848,79.6137184116,18.321299639
28777729,1,3.19178390503,385.0,837.0,30.0,166.992779783,1018.70397112,82.2996389892,77.1083032491,15.4079422383
28776960,1,4.06212282181,365.0,805.0,7.0,67.9530685921,1016.14079422,85.1010830325,80.59566787,13.5523465704
28778624,1,2.45581269264,399.0,849.0,35.0,36.7509025271,582.303249097,49.4945848375,80.2671480144,15.3104693141
28776396,1,0.857782542706,380.0,812.0,14.0,29.40433213,275.657039711,23.5631768953,77.4187725632,11.9927797834
28776651,1,2.59868717194,389.0,807.0,5.0,17.9025270758,563.259927798,48.0252707581,82.9927797834,11.8736462094
28775499,1,0.912681996822,361.0,829.0,19.0,27.6353790614,256.23465704,21.8772563177,79.0180505415,18.9855595668
28779466,1,4.44268369675,387.0,901.0,42.0,406.635379061,1584.23826715,133.122743682,73.5631768953,39.9783393502
28779912,1,1.08212542534,437.0,914.0,50.0,46.5740072202,288.642599278,24.5992779783,77.6137184116,29.2490974729
28781493,7,0.993908166885,1023.0,721.0,53.0,48.4981949458,226.714801444,19.3321299639,56.8953068592,24.0397111913
28776883,7,1.03480434418,1023.0,727.0,13.0,215.797833935,233.790613718,20.6714801444,33.4223826715,18.7653429603
28778931,7,5.06167411804,1023.0,723.0,44.0,167.776173285,1111.23104693,94.7472924188,60.6678700361,23.4296028881
28781235,7,1.09971356392,1023.0,744.0,67.0,15.9783393502,270.028880866,22.4007220217,62.2779783394,14.3610108303
28777522,7,3.30456161499,1023.0,727.0,28.0,1083.38628159,388.714801444,91.6101083032,11.3610108303,19.321299639
28775729,7,1.37522828579,1023.0,727.0,22.0,267.992779783,301.184115523,26.7075812274,33.7906137184,16.2418772563
28779569,7,4.45116138458,1010.0,743.0,47.0,1682.84115523,79.2346570397,137.563176895,1.64259927798,73.8664259928
28780849,7,4.32793092728,1023.0,729.0,51.0,1071.4765343,10.8158844765,91.440433213,0.328519855596,10.3682310469
