SPOTS_ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,FRAME,MEAN_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEAN_INTENSITY_CH4,MEAN_INTENSITY_CH5
31864676,1,1.69128155708,998.0,849.0,45.0,556.696750903,120.646209386,47.4584837545,9.20216606498,77.6823104693
31857519,1,0.695750236511,950.0,893.0,14.0,74.8844765343,198.129963899,16.9530685921,64.9205776173,42.0722021661
31864428,1,0.534769237041,1000.0,854.0,44.0,240.581227437,67.6714801444,20.5342960289,9.53068592058,66.7039711191
31861098,1,0.813747406006,1002.0,834.0,31.0,98.5487364621,278.097472924,23.0902527076,65.8628158845,157.440433213
31859816,1,1.04939818382,979.0,879.0,23.0,126.465703971,334.649819495,28.1335740072,67.40433213,45.4873646209
31859447,1,0.679809868336,946.0,887.0,13.0,58.5379061372,195.967509025,16.7761732852,69.1588447653,34.6137184116
31857013,1,1.00819218159,943.0,895.0,18.0,74.7942238267,272.418772563,23.274368231,71.0324909747,42.0072202166
31858546,1,0.665544867516,940.0,890.0,16.0,71.8194945848,212.371841155,18.1624548736,66.7545126354,35.6498194946
31863024,1,1.25905263424,990.0,830.0,32.0,82.5812274368,388.357400722,33.1155234657,75.0938628159,32.5992779783
31864177,1,2.25661921501,979.0,831.0,36.0,94.7364620939,586.754512635,50.0758122744,77.4151624549,27.5342960289
31860478,1,0.920655190945,944.0,887.0,4.0,237.85198556,53.3935018051,20.3501805054,11.2599277978,26.1119133574
31866366,1,2.39372467995,994.0,869.0,48.0,558.779783394,67.6245487365,47.6750902527,4.21299638989,44.7003610108
31867645,1,1.22847867012,1014.0,878.0,49.0,413.649819495,44.2310469314,35.2924187726,3.70397111913,33.4368231047
31859270,1,1.00726926327,960.0,883.0,20.0,99.0505415162,299.678700361,25.5848375451,69.8122743682,45.6931407942
31860167,1,0.598658621311,945.0,889.0,0.0,169.913357401,31.5054151625,14.4981949458,8.13357400722,26.714801444
31860677,1,0.993612229824,973.0,870.0,22.0,107.216606498,306.014440433,26.1083032491,68.7184115523,53.1985559567
