SPOTS_ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,FRAME,MEAN_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEAN_INTENSITY_CH4,MEAN_INTENSITY_CH5
20996370,73,2.11178946495,136.0,990.0,7.0,604.545126354,18.0252707581,50.5740072202,1.09025270758,24.1263537906
20996819,73,1.90043032169,136.0,994.0,6.0,557.19133574,37.1119133574,47.5018050542,2.64259927798,24.5342960289
20998743,73,0.322699069977,135.0,1023.0,32.0,84.9963898917,4.38989169675,7.21299638989,2.75090252708,26.3357400722
20997913,73,2.18121767044,128.0,1001.0,12.0,672.884476534,56.8411552347,57.3718411552,3.96389891697,38.1805054152
20998298,73,3.44088506699,132.0,996.0,14.0,863.862815884,59.4657039711,73.7111913357,3.56678700361,27.8375451264
20998619,73,0.457175433636,136.0,1023.0,26.0,112.664259928,4.14079422383,8.76534296029,2.2202166065,21.9711191336
21000413,73,0.3680075109,135.0,1023.0,27.0,90.4729241877,2.18050541516,7.70036101083,1.35018050542,23.2527075812
20998113,73,2.31116700172,136.0,990.0,19.0,843.075812274,12.2563176895,70.916967509,0.487364620939,32.9277978339
20997538,73,2.87506365776,138.0,1000.0,15.0,824.9566787,27.1227436823,69.3610108303,1.70397111913,27.0072202166
20997092,73,2.06237006187,136.0,994.0,3.0,558.570397112,37.7797833935,47.6714801444,3.06498194946,30.1696750903
20999720,73,0.305629968643,134.0,1023.0,28.0,82.8411552347,3.3321299639,7.02888086643,1.87003610108,21.6209386282
20997738,73,1.95087885857,137.0,993.0,4.0,549.335740072,28.1696750903,46.8664259928,1.92418772563,30.9530685921
20998506,73,0.400259494781,137.0,1023.0,24.0,103.494584838,4.1119133574,8.81588447653,2.23826714801,25.2202166065
20996460,73,2.20278358459,137.0,994.0,11.0,647.505415162,19.4729241877,55.2418772563,1.13357400722,26.0577617329
21000300,73,0.329835563898,134.0,1023.0,25.0,79.8844765343,2.12274368231,6.80866425993,1.39350180505,26.6823104693
20997360,73,2.62001204491,134.0,991.0,20.0,887.393501805,33.5342960289,74.7003610108,1.3321299639,26.5379061372
20996656,73,0.492453217506,139.0,1023.0,22.0,117.342960289,4.23465703971,9.98555956679,1.20938628159,27.7906137184
20996919,73,3.63438367844,135.0,992.0,17.0,1042.72924188,6.90613718412,87.9386281588,0.245487364621,20.3465703971
20997179,73,1.48098552227,138.0,994.0,1.0,475.563176895,34.5992779783,39.5740072202,3.21660649819,31.0541516245
20997820,73,2.48438239098,136.0,992.0,10.0,666.714801444,31.4837545126,56.9061371841,1.76895306859,20.0613718412
20996284,73,2.80928301811,129.0,1000.0,13.0,778.321299639,29.5054151625,65.4115523466,2.46931407942,28.5379061372
20998206,73,3.18101549149,141.0,995.0,16.0,940.21299639,26.7509025271,79.202166065,1.13357400722,22.2599277978
20998398,73,2.43451833725,138.0,991.0,18.0,869.537906137,22.9133574007,74.1841155235,0.98916967509,27.3754512635
20998014,73,0.470409333706,136.0,1023.0,21.0,113.660649819,1.72202166065,9.65342960289,0.743682310469,22.2527075812
20996738,75,0.923456907272,10.0,1003.0,8.0,331.519855596,22.6353790614,26.2490974729,2.49458483755,15.0072202166
20996550,75,1.17286026478,8.0,1008.0,9.0,421.848375451,90.9747292419,33.0180505415,9.02527075812,27.5523465704
20997448,75,1.27206659317,10.0,1005.0,5.0,351.057761733,44.3321299639,29.9747292419,4.68592057762,20.6642599278
20997006,75,0.70409309864,11.0,1011.0,0.0,272.137184116,23.6570397112,23.0324909747,3.50180505415,43.2599277978
20997648,75,2.17084431648,9.0,1006.0,23.0,42.8736462094,714.696750903,60.9602888087,81.9819494585,25.0216606498
20997267,75,0.88823902607,0.0,1005.0,2.0,269.884476534,26.3357400722,22.238267148,3.38267148014,19.0758122744
20996371,75,1.1483849287,9.0,1006.0,7.0,359.559566787,54.9530685921,30.6823104693,5.9963898917,28.6353790614
20996820,75,1.10819923878,9.0,1008.0,6.0,373.555956679,32.3140794224,29.9097472924,3.3321299639,36.4476534296
20997914,75,1.94574761391,8.0,1002.0,12.0,592.487364621,75.7111913357,50.5523465704,4.45848375451,31.1985559567
20998618,75,3.37865161896,19.0,1023.0,26.0,80.7039711191,848.888086643,72.4440433213,62.8303249097,25.0397111913
20998299,75,2.96077513695,10.0,1003.0,14.0,770.083032491,49.2166064982,64.6750902527,2.09747292419,19.8267148014
21000412,75,3.06575036049,0.0,1004.0,27.0,50.0902527076,790.545126354,66.7111913357,63.7725631769,21.0036101083
20998114,75,1.99631690979,9.0,998.0,19.0,81.6209386282,528.812274368,45.1299638989,77.4584837545,43.7400722022
20997539,75,2.75777244568,14.0,1005.0,15.0,787.895306859,67.3826714801,67.2490974729,3.64259927798,31.2924187726
20997093,75,1.03424143791,5.0,1005.0,3.0,390.711191336,48.6750902527,32.3754512635,4.8916967509,22.2924187726
20999719,75,1.86717665195,7.0,1012.0,28.0,48.9927797834,872.108303249,74.4079422383,82.0685920578,27.4187725632
20998505,75,2.83835101128,12.0,1003.0,24.0,69.8664259928,835.581227437,71.2888086643,80.3790613718,37.3754512635
20997739,75,1.24807739258,0.0,1005.0,4.0,345.97833935,54.5776173285,29.5342960289,6.04693140794,21.725631769
21000299,75,0.593691408634,0.0,1007.0,25.0,32.8086642599,154.057761733,13.3285198556,45.2563176895,28.8880866426
20996461,75,2.30639529228,10.0,1004.0,11.0,574.920577617,37.916967509,48.0433212996,2.12635379061,20.6498194946
20996654,75,2.98202419281,0.0,999.0,22.0,78.40433213,712.02166065,60.7942238267,62.1696750903,33.9025270758
20997361,75,2.3276822567,12.0,1005.0,20.0,33.4259927798,570.440433213,48.6931407942,80.7906137184,36.155234657
20996920,75,1.27885007858,0.0,1000.0,17.0,74.4007220217,310.198555957,26.4187725632,57.6173285199,32.7906137184
20997181,75,0.810985803604,9.0,1008.0,1.0,331.252707581,16.9675090253,28.238267148,1.94584837545,25.6678700361
20997821,75,1.35291099548,9.0,1003.0,10.0,429.776173285,51.321299639,34.6823104693,4.32490974729,23.7797833935
20996285,75,2.83275461197,9.0,1005.0,13.0,707.332129964,87.1588447653,59.3501805054,6.04693140794,35.6714801444
20998013,75,2.69386553764,10.0,1004.0,21.0,63.9386281588,731.003610108,62.3537906137,80.3357400722,38.0613718412
